pond,lat,manual,granule_id,gtx,source
1,-72.99551999999956,1.443797507038129,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99550999999956,1.462974101842438,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99549999999955,1.4820216135806683,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99548999999955,1.5009899761486485,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99547999999955,1.5201520123679646,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99546999999954,1.5416255560784609,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99545999999954,1.5633224052653014,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99544999999954,1.5850304800262995,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99543999999953,1.6066498178289328,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99542999999953,1.6266182447202115,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99541999999953,1.6468484389874205,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99540999999952,1.6668405847948224,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99539999999952,1.688736045677882,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99538999999952,1.7075427324457482,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99537999999951,1.7326888118889678,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99536999999951,1.7502829174760524,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99535999999951,1.7683959263016524,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9953499999995,1.786845288272811,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9953399999995,1.8039949505881296,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9953299999995,1.8230336891509875,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
