DIST_green,Z_green,Z_green_min_Ad,Z_green_max_Ad,DIST_red,Z_red,Z_red_min_Ad,Z_red_max_Ad,DIST_dem,DEM_uncorrected_z,Z_corrected_dem,DIST_along_transect_corrected_IS2,Manual_depths_IS2,STD_high,STD_low,,DEM_first_zero
89.57990084,2.505024433,-1.951411963,5.837623119,89.57990084,1.405508995,-0.011203268,2.166947603,255.7099206,1240.6331,2.04135,,,,,,2.4726
90.27974382,2.744653702,-1.711782694,6.077252388,90.27974382,1.504164696,0.087452464,2.265603542,257.7076719,1240.6157,2.05875,,,,,,2.49
90.97958679,2.744653702,-1.711782694,6.077252388,90.97958679,1.504164696,0.087452464,2.265603542,259.7054045,1240.5169,2.15755,,,,,,2.5888
91.67942977,2.744653702,-1.711782694,6.077252388,91.67942977,1.504164696,0.087452464,2.265603542,261.7030575,1240.285,2.38945,,,,,,2.8207
92.37927274,2.744653702,-1.711782694,6.077252388,92.37927274,1.504164696,0.087452464,2.265603542,263.7007902,1240.1502,2.52425,,,,,,2.9555
93.07911572,2.744653702,-1.711782694,6.077252388,93.07911572,1.504164696,0.087452464,2.265603542,265.6985414,1240.1872,2.48725,,,,,,2.9185
93.77895869,2.744653702,-1.711782694,6.077252388,93.77895869,1.504164696,0.087452464,2.265603542,267.6962741,1240.3629,2.31155,,,,,,2.7428
94.47880167,2.744653702,-1.711782694,6.077252388,94.47880167,1.504164696,0.087452464,2.265603542,269.6940253,1240.5182,2.15625,,,,,,2.5875
95.17864464,2.744653702,-1.711782694,6.077252388,95.17864464,1.504164696,0.087452464,2.265603542,271.691758,1240.5547,2.11975,,,,,,2.551
95.87848762,2.744653702,-1.711782694,6.077252388,95.87848762,1.504164696,0.087452464,2.265603542,273.6895092,1240.5906,2.08385,,,,,,2.5151
96.57833059,2.744653702,-1.711782694,6.077252388,96.57833059,1.504164696,0.087452464,2.265603542,275.6872605,1240.6013,2.07315,,,,,,2.5044
97.27817357,2.744653702,-1.711782694,6.077252388,97.27817357,1.504164696,0.087452464,2.265603542,277.6849931,1240.5341,2.14035,,,,,,2.5716
97.97801654,2.744653702,-1.711782694,6.077252388,97.97801654,1.504164696,0.087452464,2.265603542,279.6827444,1240.325,2.34945,,,,,,2.7807
98.67785952,2.744653702,-1.711782694,6.077252388,98.67785952,1.504164696,0.087452464,2.265603542,281.680477,1240.1344,2.54005,,,,,,2.9713
99.3777025,2.744653702,-1.711782694,6.077252388,99.3777025,1.504164696,0.087452464,2.265603542,283.67813,1240.2078,2.46665,,,,,,2.8979
100.0775455,2.744653702,-1.711782694,6.077252388,100.0775455,1.504164696,0.087452464,2.265603542,285.6758627,1240.3726,2.30185,,,,,,2.7331
100.7773884,3.034488201,-1.421947718,6.367087364,100.7773884,1.561059475,0.144347101,2.322498083,287.6736139,1240.5616,2.11285,,,,,,2.5441
101.4772314,3.034488201,-1.421947718,6.367087364,101.4772314,1.561059475,0.144347101,2.322498083,289.6713466,1240.543,2.13145,,,,,,2.5627
102.1770744,3.034488201,-1.421947718,6.367087364,102.1770744,1.561059475,0.144347101,2.322498083,291.6690978,1240.4696,2.20485,,,,,,2.6361
102.8769174,3.034488201,-1.421947718,6.367087364,102.8769174,1.561059475,0.144347101,2.322498083,293.6668491,1240.4001,2.27435,,,,,,2.7056
103.5767603,3.034488201,-1.421947718,6.367087364,103.5767603,1.561059475,0.144347101,2.322498083,295.6645817,1240.3803,2.29415,,,,,,2.7254
