DIST_green,Green_z_lit,Z_green,DIST_green_uncert,Z_green_min_stdev_mean,Z_green_max_stdev_mean,DIST_red,Red_z_lit,Z_red,Standard deviation,Mean,DIST_red_uncert,Z_red_min_stdev_mean,Z_red_max_stdev_mean,DIST_dem,DEM_zeroed,DIST_along_transect_corrected_IS2,Manual_depths_IS2,STD_high,STD_low,,green - dem,red - dem,average(g - dem),average(r - dem)
26.59897147,-0.364423518,-0.265123376,26.9778742,-0.834363438,0.23346636,26.59897147,-0.031178132,-0.022685466,0.109581013,-0.029525467,26.9778742,-0.139106481,0.080055546,26.59897147,0.07385,573.8929603,4.158629845,4.2876353,4.02962439,,-0.338973376,-0.096535466,,
27.29894441,-0.440379666,-0.320381962,27.68781826,-0.892312299,0.177626447,27.29894441,-0.089423053,-0.065064253,0.110195012,-0.07315881,27.68781826,-0.183353822,0.037036201,27.29894441,0.058225,588.9954066,4.229666681,4.359022714,4.100310648,,-0.378606962,-0.123289253,,
27.99891734,-0.440379666,-0.320381962,28.39776232,-0.892312299,0.177626447,27.99891734,-0.089423053,-0.065064253,0.110195012,-0.07315881,28.39776232,-0.183353822,0.037036201,27.99891734,0.058225,604.0978529,4.286418524,4.42040553,4.152431517,,-0.378606962,-0.123289253,,
28.69889027,-0.440379666,-0.320381962,29.10770638,-0.892312299,0.177626447,28.69889027,-0.089423053,-0.065064253,0.110195012,-0.07315881,29.10770638,-0.183353822,0.037036201,28.69889027,0.058225,619.2002993,4.295376385,4.442364972,4.148387798,,-0.378606962,-0.123289253,,
29.39886321,0.988587911,0.71923823,29.81765043,0.167470476,1.258635094,29.39886321,0.352878103,0.256777566,0.118278286,0.258210625,29.81765043,0.139932338,0.376488911,29.39886321,0.0504125,634.3027456,4.271889274,4.431960371,4.111818178,,0.66882573,0.206365066,,
30.09883614,0.988587911,0.71923823,30.52759449,0.167470476,1.258635094,30.09883614,0.352878103,0.256777566,0.118278286,0.258210625,30.52759449,0.139932338,0.376488911,30.09883614,0.0504125,649.4051919,4.259719913,4.416603298,4.102836528,,0.66882573,0.206365066,,
30.79880907,0.988587911,0.71923823,31.23753855,0.167470476,1.258635094,30.79880907,0.352878103,0.256777566,0.118278286,0.258210625,31.23753855,0.139932338,0.376488911,30.79880907,0.0504125,664.5076382,4.248577229,4.402548441,4.094606017,,0.66882573,0.206365066,,
31.49878201,0.988587911,0.71923823,31.94748261,0.167470476,1.258635094,31.49878201,0.352878103,0.256777566,0.118278286,0.258210625,31.94748261,0.139932338,0.376488911,31.49878201,0.0504125,679.6100845,4.24519007,4.388696789,4.101683351,,0.66882573,0.206365066,,
32.19875494,0.988587911,0.71923823,32.65742666,0.167470476,1.258635094,32.19875494,0.352878103,0.256777566,0.118278286,0.258210625,32.65742666,0.139932338,0.376488911,32.19875494,0.0504125,694.7125309,4.237484262,4.36580645,4.109162074,,0.66882573,0.206365066,,
32.89872788,0.988587911,0.71923823,33.36737072,0.167470476,1.258635094,32.89872788,0.352878103,0.256777566,0.118278286,0.258210625,33.36737072,0.139932338,0.376488911,32.89872788,0.0660375,709.8149772,4.21842993,4.343494971,4.093364889,,0.65320073,0.190740066,,
33.59870081,0.988587911,0.71923823,34.07731478,0.167470476,1.258635094,33.59870081,0.352878103,0.256777566,0.118278286,0.258210625,34.07731478,0.139932338,0.376488911,33.59870081,0.0660375,724.9174235,4.18454639,4.312871015,4.056221765,,0.65320073,0.190740066,,
34.29867374,0.988587911,0.71923823,34.78725884,0.167470476,1.258635094,34.29867374,0.352878103,0.256777566,0.118278286,0.258210625,34.78725884,0.139932338,0.376488911,34.29867374,0.0660375,740.0198698,4.149398353,4.283585225,4.015211482,,0.65320073,0.190740066,,
34.99864668,0.988587911,0.71923823,35.4972029,0.167470476,1.258635094,34.99864668,0.352878103,0.256777566,0.118278286,0.258210625,35.4972029,0.139932338,0.376488911,34.99864668,0.089475,755.1223162,4.110887682,4.260277012,3.961498352,,0.62976323,0.167302566,,
35.69861961,0.988587911,0.71923823,36.20714695,0.167470476,1.258635094,35.69861961,0.352878103,0.256777566,0.118278286,0.258210625,36.20714695,0.139932338,0.376488911,35.69861961,0.089475,770.2247625,4.089184237,4.238826023,3.939542451,,0.62976323,0.167302566,,
36.39859254,0.988587911,0.71923823,36.91709101,0.167470476,1.258635094,36.39859254,0.352878103,0.256777566,0.118278286,0.258210625,36.91709101,0.139932338,0.376488911,36.39859254,0.089475,785.3272088,4.068745202,4.219207563,3.918282842,,0.62976323,0.167302566,,
37.09856548,0.906728733,0.65968077,37.62703507,0.108464832,1.194999699,37.09856548,0.362694453,0.263921195,0.118767751,0.26556573,37.62703507,0.14679798,0.384333481,37.09856548,0.120725,800.4296551,4.070337926,4.192366622,3.94830923,,0.53895577,0.143196195,,
37.79853841,0.906728733,0.65968077,38.33697913,0.108464832,1.194999699,37.79853841,0.362694453,0.263921195,0.118767751,0.26556573,38.33697913,0.14679798,0.384333481,37.79853841,0.120725,815.5321015,4.066780115,4.169087398,3.964472831,,0.53895577,0.143196195,,
38.49851134,0.906728733,0.65968077,39.04692319,0.108464832,1.194999699,38.49851134,0.362694453,0.263921195,0.118767751,0.26556573,39.04692319,0.14679798,0.384333481,38.49851134,0.120725,830.6345478,4.051313257,4.151124863,3.951501651,,0.53895577,0.143196195,,
39.19848428,0.906728733,0.65968077,39.75686724,0.108464832,1.194999699,39.19848428,0.362694453,0.263921195,0.118767751,0.26556573,39.75686724,0.14679798,0.384333481,39.19848428,0.151975,845.7369941,4.026312148,4.130188998,3.922435298,,0.50770577,0.111946195,,
39.89845721,0.906728733,0.65968077,40.4668113,0.108464832,1.194999699,39.89845721,0.362694453,0.263921195,0.118767751,0.26556573,40.4668113,0.14679798,0.384333481,39.89845721,0.151975,860.8394404,3.968220609,4.107679268,3.82876195,,0.50770577,0.111946195,,
40.59843014,0.906728733,0.65968077,41.17675536,0.108464832,1.194999699,40.59843014,0.362694453,0.263921195,0.118767751,0.26556573,41.17675536,0.14679798,0.384333481,40.59843014,0.151975,875.9418867,3.93057384,4.078173998,3.782973683,,0.50770577,0.111946195,,
41.29840308,0.906728733,0.65968077,41.88669942,0.108464832,1.194999699,41.29840308,0.362694453,0.263921195,0.118767751,0.26556573,41.88669942,0.14679798,0.384333481,41.29840308,0.1754125,891.0443331,3.916320838,4.04233933,3.790302346,,0.48426827,0.088508695,,
41.99837601,0.906728733,0.65968077,42.59664348,0.108464832,1.194999699,41.99837601,0.362694453,0.263921195,0.118767751,0.26556573,42.59664348,0.14679798,0.384333481,41.99837601,0.1754125,906.1467794,3.890801946,4.0082886,3.773315293,,0.48426827,0.088508695,,
42.69834894,0.906728733,0.65968077,43.30658753,0.108464832,1.194999699,42.69834894,0.362694453,0.263921195,0.118767751,0.26556573,43.30658753,0.14679798,0.384333481,42.69834894,0.1754125,921.2492257,3.860649461,3.977719239,3.743579683,,0.48426827,0.088508695,,
43.39832188,0.906728733,0.65968077,44.01653159,0.108464832,1.194999699,43.39832188,0.362694453,0.263921195,0.118767751,0.26556573,44.01653159,0.14679798,0.384333481,43.39832188,0.1910375,936.351672,3.817091109,3.948722505,3.685459714,,0.46864327,0.072883695,,
44.09829481,0.906728733,0.65968077,44.72647565,0.108464832,1.194999699,44.09829481,0.362694453,0.263921195,0.118767751,0.26556573,44.72647565,0.14679798,0.384333481,44.09829481,0.1910375,951.4541184,3.764367205,3.919406734,3.609327676,,0.46864327,0.072883695,,
44.79826775,0.906728733,0.65968077,45.43641971,0.108464832,1.194999699,44.79826775,0.362694453,0.263921195,0.118767751,0.26556573,45.43641971,0.14679798,0.384333481,44.79826775,0.1910375,966.5565647,3.713943333,3.889263419,3.538623247,,0.46864327,0.072883695,,
45.49824068,0.906728733,0.65968077,46.14636377,0.108464832,1.194999699,45.49824068,0.362694453,0.263921195,0.118767751,0.26556573,46.14636377,0.14679798,0.384333481,45.49824068,0.19885,981.659011,3.675822677,3.854206879,3.497438474,,0.46083077,0.065071195,,
46.19821361,0.906728733,0.65968077,46.85630782,0.108464832,1.194999699,46.19821361,0.362694453,0.263921195,0.118767751,0.26556573,46.85630782,0.14679798,0.384333481,46.19821361,0.19885,996.7614573,3.64810685,3.818502903,3.477710797,,0.46083077,0.065071195,,
46.89818655,0.906728733,0.65968077,47.56625188,0.108464832,1.194999699,46.89818655,0.362694453,0.263921195,0.118767751,0.26556573,47.56625188,0.14679798,0.384333481,46.89818655,0.19885,1011.863904,3.621807957,3.783242263,3.46037365,,0.46083077,0.065071195,,
47.59815948,0.852719013,0.62038562,48.27619594,0.069424726,1.153123023,47.59815948,0.357469738,0.260119021,0.118505775,0.261650999,48.27619594,0.143145224,0.380156774,47.59815948,0.19885,1026.96635,3.598444193,3.747067337,3.449821049,,0.42153562,0.061269021,,
