ice_sheet,melt_season,basin,quality_summary,max_depth,length_water_surfaces,surface_elevation,n_photons_where_water,lon,lat,date_time,lon_min,lon_max,lat_min,lat_max,cycle_number,rgt,gtx,beam_strength,beam_number,detection_quality,lake_quality,granule_id,lake_id,file_name,main_region,basin_name,depth_95th_pctl
GrIS,2019,GRE_2000_CW,10.00639458036081,5.598077331272822,712.0,1464.0583378906251,4913,-47.73146676007781,69.21525661254644,2019-08-10T04:05:45Z,-47.73339572319523,-47.72954002717105,69.20958287354459,69.22095415502385,4,658,gt3l,strong,5,0.7439512138083799,13.35015626438038,ATL03_20190810040312_06580403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190810040312_06580403_006_02_gt3l_0010,data/lakes/lake_08999361_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190810040312_06580403_006_02_gt3l_0010.h5,,CW,5.587988473374292
GrIS,2020,GRE_2000_CW,9.911551803006962,7.7143404449493795,635.0,1128.1970473632794,5877,-49.19619573919314,69.94814300046103,2020-07-13T12:00:49Z,-49.19828964365287,-49.19410077793285,69.94246188457302,69.95383418597189,8,277,gt1l,strong,1,0.7118249284907985,13.8239469802655,ATL03_20200713115804_02770803_006_01.h5,simplified_GRE_2000_CW_ATL03_20200713115804_02770803_006_01_gt1l_0005,data/lakes/lake_09008845_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200713115804_02770803_006_01_gt1l_0005.h5,,CW,7.698955910699477
GrIS,2019,GRE_2000_CW,9.775860064739398,8.190280322412637,1438.0,1233.3334391479473,12148,-48.85074202460899,68.4349063165966,2019-06-17T06:45:10Z,-48.85381380322966,-48.8476735854198,68.42544859761544,68.44440545862273,3,1222,gt2l,strong,3,0.6020837832144817,16.136440795896704,ATL03_20190617064249_12220303_006_02.h5,simplified_GRE_2000_CW_ATL03_20190617064249_12220303_006_02_gt2l_0017,data/lakes/lake_09022414_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190617064249_12220303_006_02_gt2l_0017.h5,,CW,8.18895929065152
GrIS,2020,GRE_2000_CW,9.746212852503383,3.759820562239687,438.0,793.9881713866944,16512,-49.87390095139772,69.67068887337754,2020-07-17T11:52:26Z,-49.87578479398066,-49.87202440989213,69.66562343470027,69.67573692890281,8,338,gt1l,strong,1,0.5254781954324513,18.446968204457423,ATL03_20200717114945_03380803_006_01.h5,simplified_GRE_2000_CW_ATL03_20200717114945_03380803_006_01_gt1l_0002,data/lakes/lake_09025379_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200717114945_03380803_006_01_gt1l_0002.h5,,CW,3.75240236942512
GrIS,2019,GRE_2000_CW,9.61696288289568,14.03554829204914,1579.0,1200.5695949707012,1807,-48.568866149738426,68.90619879315793,2019-07-16T05:21:08Z,-48.5721963795601,-48.5655315404575,68.89607549877194,68.91629523238907,4,277,gt3r,weak,6,0.4645176045594169,20.6026725398094,ATL03_20190716051841_02770403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190716051841_02770403_006_02_gt3r_0024,data/lakes/lake_09038304_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190716051841_02770403_006_02_gt3r_0024.h5,,CW,14.01850504495066
GrIS,2019,GRE_2000_CW,9.469570887271251,11.438178028905414,1775.0,1246.64388568115,14605,-48.77725991683478,68.45331820479349,2019-06-17T06:45:10Z,-48.78071167145973,-48.77381137626253,68.44257140665324,68.46406107106571,3,1222,gt3l,strong,5,0.6226334498958261,15.108657360573854,ATL03_20190617064249_12220303_006_02.h5,simplified_GRE_2000_CW_ATL03_20190617064249_12220303_006_02_gt3l_0030,data/lakes/lake_09053043_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190617064249_12220303_006_02_gt3l_0030.h5,,CW,11.42216188062674
GrIS,2019,GRE_2000_CW,9.39760108106731,10.789318375473206,1929.0,1157.8159645385724,5861,-48.99267020950367,68.6304784478097,2019-06-17T06:45:14Z,-48.99645089936679,-48.9888878655653,68.61910969008926,68.64184713795508,3,1222,gt1r,weak,2,0.5189187322380991,18.00961794413693,ATL03_20190617064249_12220303_006_02.h5,simplified_GRE_2000_CW_ATL03_20190617064249_12220303_006_02_gt1r_0010,data/lakes/lake_09060240_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190617064249_12220303_006_02_gt1r_0010.h5,,CW,10.783990992174536
GrIS,2019,GRE_2000_CW,8.030572111499845,6.426149532685233,1034.0,1367.1120869140616,4419,-50.11271795593535,71.02533838952286,2019-07-20T05:13:23Z,-50.115982800372166,-50.10944705993024,71.0170457205171,71.03361950157665,4,338,gt3l,strong,5,0.3044686656882556,26.274826930311264,ATL03_20190720051023_03380403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190720051023_03380403_006_02_gt3l_0003,data/lakes/lake_09196943_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190720051023_03380403_006_02_gt3l_0003.h5,,CW,6.415828361505402
GrIS,2020,GRE_2000_CW,7.7784990309385,9.183154882242135,1864.0,1277.3835391845682,21473,-48.55804862076511,68.67986817945746,2020-07-06T01:02:34Z,-48.56182098303072,-48.55425970174425,68.66849897102811,68.69126383592982,8,163,gt1l,strong,1,0.4995861032200476,15.46957506434443,ATL03_20200706005932_01630805_006_01.h5,simplified_GRE_2000_CW_ATL03_20200706005932_01630805_006_01_gt1l_0003,data/lakes/lake_09222150_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200706005932_01630805_006_01_gt1l_0003.h5,,CW,9.165691629389702
GrIS,2019,GRE_2000_CW,7.791795220351855,5.4008407711032405,1045.0,1603.205846679686,5939,-47.67557891344994,68.45526765449827,2019-08-02T17:07:49Z,-47.67907266405636,-47.6720903209504,68.44452106823819,68.4660144583824,4,544,gt2r,weak,4,0.6537506994092906,11.818420956463394,ATL03_20190802170446_05440405_006_02.h5,simplified_GRE_2000_CW_ATL03_20190802170446_05440405_006_02_gt2r_0012,data/lakes/lake_09234975_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190802170446_05440405_006_02_gt2r_0012.h5,,CW,5.387661546815715
GrIS,2020,GRE_2000_CW,7.51447201258465,6.996139656866264,685.0,999.9512188720458,11830,-50.21035211370261,70.80175603478614,2020-07-17T11:52:44Z,-50.21280739732914,-50.20788639987097,70.79543345707332,70.80806072923612,8,338,gt2l,strong,3,0.6651845149982211,11.196653600044714,ATL03_20200717114945_03380803_006_01.h5,simplified_GRE_2000_CW_ATL03_20200717114945_03380803_006_01_gt2l_0010,data/lakes/lake_09248553_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200717114945_03380803_006_01_gt2l_0010.h5,,CW,6.982309188409897
GrIS,2020,GRE_2000_CW,7.759314781174893,4.721674790816707,931.0,1218.414037109373,16344,-50.5119240398496,71.33554245753854,2020-07-17T11:52:52Z,-50.515066300372695,-50.50878889562697,71.32797509921197,71.34312418687072,8,338,gt1r,weak,2,0.4678081021913788,16.486178997410086,ATL03_20200717114945_03380803_006_01.h5,simplified_GRE_2000_CW_ATL03_20200717114945_03380803_006_01_gt1r_0008,data/lakes/lake_09359012_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200717114945_03380803_006_01_gt1r_0008.h5,,CW,4.709983417283074
GrIS,2019,GRE_2000_CW,6.23013001515496,2.967736396234428,724.0,1170.4269482421855,8697,-48.98382528637959,68.6628882400615,2019-06-09T19:47:22Z,-48.98567824783908,-48.981968168293164,68.6572033143448,68.66857621652062,3,1108,gt3l,strong,5,0.4662982469163562,13.26054006411876,ATL03_20190609194422_11080305_006_02.h5,simplified_GRE_2000_CW_ATL03_20190609194422_11080305_006_02_gt3l_0008,data/lakes/lake_09376987_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190609194422_11080305_006_02_gt3l_0008.h5,,CW,2.9610872363412613
